Time,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
63919522642837.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.69554576799147,-58.8147760950879,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286533.642414798,442690.2456858413,-74519.62740585045
63919522647837.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,16.27760148005853,-57.16656219829389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286533.802714297,442691.2754064355,-74519.44675174373
63919522652838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,21.923082010533328,-61.88229917848978,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286533.9630183245,442692.3051457543,-74519.26609358873
63919522657837.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,24.86499362571257,-61.35035380190789,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286534.1233172086,442693.3348421294,-74519.0854422411
63919522662838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,18.435641167601116,-60.32056201290423,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286534.283623833,442694.3645777529,-74518.90478327754
63919522667838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,25.73524932718683,-61.770722288854344,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286534.4439317484,442695.39431159274,-74518.7241238358
63919522672838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,17.386956374343868,-62.802055529641954,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286534.6042410708,442696.42404352967,-74518.5434640465
63919522677838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,26.33798475312885,-58.13543447627156,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286534.7645484412,442697.45375307975,-74518.36280741112
63919522682838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.844391654889076,-61.60615295862059,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286534.9248571259,442698.48346076027,-74518.18215039361
63919522687838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,21.208786391103512,-62.526333198915225,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286535.0851702935,442699.51318721165,-74518.00148928538
63919522692838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,19.5569774946944,-59.15924348264966,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286535.2454816282,442700.5428912095,-74517.82083143038
63919522697838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.027939906593023,-63.818971281239826,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286535.4057942457,442701.5725933491,-74517.64017312159
63919522702838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.408026925989052,-59.68868598025941,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286535.5661081697,442702.602293638,-74517.45951442514
63919522707838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,25.056821713500128,-63.510199095836704,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286535.726429833,442703.6320332769,-74517.27884805546
63919522712838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.54651118681984,-61.784062902622395,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286535.8867463977,442704.66172987875,-74517.09818850161
63919522717838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.554968213629696,-65.48880612537462,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286536.047064272,442705.6914246283,-74516.91752855288
63919522722838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,28.163214317633802,-63.51014893230919,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286536.207383482,442706.7211175561,-74516.7368681751
63919522727838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,27.34282375090412,-64.828876113882,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286536.3677071927,442707.75082923897,-74516.55620373983
63919522732838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,27.47610491201613,-61.21137103741925,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286536.5280290158,442708.7805184973,-74516.37554253993
